Student Name,Roll No,Maths,DS,TOC,DBMS,Java
Advait Mishra,CS2024001,36.72,76.14,30.54,89.19,32.06,31.0
Neha Tiwari,CS2024002,86.34,37.18,61.86,61.75,59.38,69.17
Simran Kumar,CS2024003,69.33,73.31,47.47,41.61,51.3,51.69
Advik Pandey,CS2024004,99.95,42.22,49.6,54.96,32.74,45.52
Kabir Dubey,CS2024005,72.43,34.31,43.03,34.41,48.51,46.79
Swati Sharma,CS2024006,48.83,90.79,48.42,84.48,65.95,52.88
Tarun Kapoor,CS2024007,79.53,65.48,42.53,76.73,30.99,98.97
Mohit Malhotra,CS2024008,88.33,71.12,69.25,50.98,94.0,64.78
Aanya Patel,CS2024009,61.36,49.12,88.52,38.29,68.51,89.96
Priya Saxena,CS2024010,47.09,80.12,61.61,38.25,63.87,64.43
Kabir Pandey,CS2024011,46.11,45.24,49.9,45.59,62.9,42.93
Mohit Tiwari,CS2024012,55.41,74.27,30.33,67.0,34.06,70.91
Advik Yadav,CS2024013,92.87,72.31,61.14,72.27,92.21,36.74
Ananya Gupta,CS2024014,47.16,35.13,99.93,52.84,39.38,71.91
Advik Kapoor,CS2024015,90.38,78.95,82.87,83.51,69.42,76.87
Karan Saxena,CS2024016,61.3,78.53,51.2,30.06,71.15,97.47
Varun Kapoor,CS2024017,72.8,67.19,37.95,32.09,59.56,36.08
Pallavi Joshi,CS2024018,55.1,51.38,76.7,90.09,33.07,32.04
Siddharth Rajput,CS2024019,70.81,95.89,63.87,32.48,48.91,93.89
Nikhil Chauhan,CS2024020,68.77,73.03,60.53,82.85,89.83,36.28
Swati Malhotra,CS2024021,68.57,71.32,57.44,56.61,69.82,66.2
Karan Rajput,CS2024022,66.97,39.28,78.92,59.14,71.43,84.99
Amit Gupta,CS2024023,91.06,74.27,90.7,88.64,39.34,63.45
Reyansh Sharma,CS2024024,65.21,68.01,70.09,34.28,68.36,50.35
Mohit Joshi,CS2024025,38.9,52.06,36.06,34.72,55.13,61.01
Sneha Chauhan,CS2024026,78.8,39.55,33.61,36.32,87.36,44.03
Pallavi Tripathi,CS2024027,33.29,93.67,69.4,58.09,61.5,47.34
Nikhil Singh,CS2024028,52.08,42.46,60.45,59.79,57.63,33.04
Tanvi Verma,CS2024029,89.79,84.07,57.93,87.23,84.87,45.2
Sneha Mishra,CS2024030,57.04,38.83,62.84,71.38,65.78,34.57
Ayaan Kapoor,CS2024031,94.05,46.89,81.21,85.67,36.18,37.41
Pranav Pandey,CS2024032,92.8,99.09,71.95,62.36,94.31,36.58
Reyansh Singh,CS2024033,61.78,61.38,95.83,48.62,86.41,76.88
Rohan Verma,CS2024034,55.66,35.79,79.01,43.32,32.26,63.14
Aarush Singh,CS2024035,57.46,39.19,75.07,45.87,43.67,32.23
Darsh Chauhan,CS2024036,89.5,89.33,71.69,96.88,75.91,58.99
Neha Chauhan,CS2024037,58.95,88.25,70.07,89.59,67.09,34.1
Swati Saxena,CS2024038,48.56,53.39,52.43,60.02,59.97,92.49
Isha Yadav,CS2024039,44.46,41.09,54.36,31.98,59.13,55.69
Krishna Verma,CS2024040,59.73,59.41,82.91,88.85,44.29,58.28
Vihaan Kumar,CS2024041,55.63,77.12,53.12,45.54,93.37,93.01
Komal Srivastava,CS2024042,54.43,99.85,68.59,70.78,78.92,41.84
Simran Mishra,CS2024043,30.58,58.99,84.37,38.96,33.96,39.91
Krishna Patel,CS2024044,92.25,82.26,53.7,82.8,42.08,40.81
Pallavi Saxena,CS2024045,48.08,35.32,51.52,54.26,33.41,65.44
Mohit Mishra,CS2024046,70.34,83.82,57.84,45.02,48.21,61.03
Priya Kapoor,CS2024047,74.49,54.78,82.63,92.08,34.15,32.01
Siddharth Yadav,CS2024048,95.65,91.85,30.64,83.48,93.98,91.46
Tanvi Patel,CS2024049,71.84,70.01,33.28,96.61,58.95,36.61
Diya Saxena,CS2024050,43.28,69.36,51.83,31.88,72.15,54.25
Reyansh Saxena,CS2024051,39.17,77.79,34.49,68.28,66.08,99.29
Shaurya Joshi,CS2024052,57.2,96.2,98.62,35.74,84.5,56.75
Aarav Gupta,CS2024053,31.06,34.37,53.69,93.89,70.26,77.5
Vihaan Sharma,CS2024054,51.33,95.81,69.86,34.97,77.2,88.25
Sai Tripathi,CS2024055,86.24,34.6,43.65,72.41,97.18,57.53
Divya Dubey,CS2024056,62.27,64.99,81.31,97.27,49.24,70.08
Ayaan Kumar,CS2024057,84.95,55.8,32.29,88.04,75.28,55.93
Shaurya Saxena,CS2024058,32.9,47.47,52.43,67.45,60.87,34.22
Karan Yadav,CS2024059,95.01,38.39,41.13,67.84,61.22,93.13
Siddharth Verma,CS2024060,89.69,37.37,39.6,45.77,98.98,46.57
Pooja Mishra,CS2024061,64.92,83.67,47.9,87.69,67.89,51.72
Shaurya Verma,CS2024062,61.79,43.38,95.36,59.2,71.19,46.63
Aarush Tiwari,CS2024063,95.85,84.08,79.15,49.34,88.05,59.95
Nikhil Saxena,CS2024064,79.03,36.62,52.99,90.19,42.13,58.19
Aarush Malhotra,CS2024065,59.37,71.86,39.99,36.86,56.08,75.68
Aditi Tripathi,CS2024066,76.51,35.36,39.66,40.38,54.13,76.1
Kunal Kapoor,CS2024067,89.95,44.38,80.7,82.3,38.14,51.77
Karan Kumar,CS2024068,34.22,41.01,44.82,76.51,32.91,55.92
Mohit Sharma,CS2024069,85.4,38.2,33.56,86.61,97.58,73.96
Amit Verma,CS2024070,52.91,39.68,48.95,69.47,97.16,59.98
Priya Shukla,CS2024071,84.73,58.18,99.32,74.04,37.77,32.2
Varun Singh,CS2024072,37.59,49.97,54.03,72.26,75.65,70.33
Isha Verma,CS2024073,32.1,38.47,64.58,33.61,95.92,41.57
Aanya Kapoor,CS2024074,99.66,96.69,45.26,92.87,31.75,59.69
Pooja Kapoor,CS2024075,57.46,82.37,53.73,71.68,89.51,47.35
Aarav Joshi,CS2024076,31.17,87.38,34.24,60.53,62.63,33.62
Advik Sharma,CS2024077,93.54,41.39,87.04,69.6,45.35,32.15
Ishaan Joshi,CS2024078,41.21,58.26,75.19,44.49,52.28,58.26
Komal Sharma,CS2024079,67.34,49.66,67.92,66.17,61.35,71.85
Darsh Tiwari,CS2024080,88.84,45.37,39.09,97.41,77.69,35.29
Nidhi Joshi,CS2024081,33.63,76.15,90.15,60.54,64.7,37.11
Advait Kumar,CS2024082,86.8,84.61,51.72,45.3,67.76,73.59
Rohan Rajput,CS2024083,80.58,96.74,50.55,80.43,58.21,51.7
Aditya Saxena,CS2024084,53.41,80.92,75.89,91.51,40.84,45.79
Rahul Pandey,CS2024085,48.29,87.46,36.32,62.32,52.8,65.42
Ayaan Shukla,CS2024086,85.97,81.53,71.69,68.62,33.74,82.6
Isha Tiwari,CS2024087,43.53,99.37,68.18,47.66,86.13,76.61
Dhruv Singh,CS2024088,81.5,83.77,82.81,74.41,52.18,78.99
Varun Verma,CS2024089,85.64,88.7,33.09,64.3,31.08,39.85
Nikhil Patel,CS2024090,77.04,76.9,52.61,66.62,41.94,71.36
Sneha Srivastava,CS2024091,88.05,78.88,65.09,86.47,39.82,53.89
Tarun Tiwari,CS2024092,87.32,46.77,81.24,91.95,80.12,57.22
Varun Mishra,CS2024093,86.6,56.69,46.4,76.28,64.25,81.26
Aarav Singh,CS2024094,79.37,63.95,37.3,47.1,92.8,98.12
Diya Srivastava,CS2024095,99.23,50.72,38.47,72.19,73.41,67.47
Aditya Singh,CS2024096,62.05,48.35,37.76,42.33,81.67,30.21
Shreya Kapoor,CS2024097,98.13,54.98,81.79,51.98,34.85,86.08
Aditya Gupta,CS2024098,31.4,63.84,91.36,44.31,89.13,84.22
Ayaan Mishra,CS2024099,80.3,88.91,93.19,87.14,98.55,75.63
Dhruv Patel,CS2024100,93.76,45.84,62.41,59.18,62.9,83.4
Rahul Kumar,CS2024101,91.5,84.23,72.23,79.43,60.31,80.33
Advait Singh,CS2024102,60.32,91.68,30.42,77.71,45.16,37.65
Ayaan Srivastava,CS2024103,81.64,39.32,61.3,65.89,66.69,93.06
Ayaan Malhotra,CS2024104,91.93,78.24,75.3,60.12,41.38,82.87
Divya Saxena,CS2024105,95.02,49.98,50.08,67.12,42.3,70.49
Atharv Joshi,CS2024106,82.29,80.33,33.12,87.01,87.91,41.35
Varun Tiwari,CS2024107,65.25,76.12,93.1,49.37,51.11,61.81
Riya Sharma,CS2024108,94.35,95.81,61.59,36.0,73.14,55.57
Simran Gupta,CS2024109,53.57,49.01,46.78,92.01,65.67,92.04
Aditi Kumar,CS2024110,57.05,91.36,92.69,33.24,45.86,93.72
Pallavi Sharma,CS2024111,64.77,89.18,92.33,69.96,63.08,68.06
Swati Verma,CS2024112,39.37,54.72,35.55,57.89,34.99,56.55
